"uid","gvkey","permno","conm","City","Number.of.Workers","WARN.Received.Date","rd_intensity_1yr","rd_intensity_3yr","rd_intensity_5yr","rd_group_1yr","rd_group_3yr","rd_group_5yr","CAR_1_Day_Window","CAR_3_Day_Window","CAR_5_Day_Window","CAR_10_Day_Window"
"11499-24NOV2015","001050",11499,"CECO ENVIRONMENTAL CORP","Bothell/Everett",154,"11/24/2015",0.000376950541244079,0.000254904863944584,0.000163114435575686,"Low R&D","Low R&D","Low R&D",-0.0094289496,-0.0053953797,-0.0774897823,-0.2715465104
"20482-20MAR2024","001078",20482,"ABBOTT LABORATORIES","2302 Courage Dr Fairfield CA 94533",195,"03/20/2024",0.0683387768331297,0.066051100206516,0.0689117535196771,"High R&D","High R&D","High R&D",-0.0175062041,-0.0845539403,-0.0683433325,-0.0709739119
"61241-25OCT2012","001161",61241,"ADVANCED MICRO DEVICES","Sunnyvale",107,"10/25/2012",0.221224116930572,0.25203480615383,0.276290807947321,"High R&D","High R&D","High R&D",-0.0129851761,0.0250290465,-0.1189861523,-0.2297481358
"61241-16APR2015","001161",61241,"ADVANCED MICRO DEVICES","Sunnyvale",85,"04/16/2015",0.194696694515074,0.223688860305046,0.221728850995074,"High R&D","High R&D","High R&D",-0.0068165646,-0.1179613379,-0.1062825499,-0.0500697734
"28222-01JUN2017","001209",28222,"AIR PRODUCTS & CHEMICALS INC","Wilkes-Barre",156,"06/01/2017",0.0138591407332745,0.0138106425850808,0.0135431292661112,"Low R&D","Low R&D","Low R&D",0.0096492447,-0.0012183242,-0.0036260107,0.006387689
"11587-25MAR2011","001234",11587,"ATRION CORP","Laguna Niguel",72,"03/25/2011",0.0245834446296825,0.0286297579682608,0.0303500471194694,"High R&D","High R&D","High R&D",-0.0139331676,-0.0328960025,0.008098887,0.0098439426
"11587-18JAN2011","001234",11587,"ATRION CORP","Laguna Niguel",74,"01/18/2011",0.0245834446296825,0.0286297579682608,0.0303500471194694,"High R&D","High R&D","High R&D",-0.0222851969,-0.02806882,-0.0214544886,-0.1030200695
"11587-15APR2020","001234",11587,"ATRION CORP",NA,126,"04/15/2020",0.0324893916138934,0.0360701693839297,0.0395143786436136,"High R&D","High R&D","High R&D",-0.048198769,-0.1129393003,-0.1033421567,-0.0466195853
"11587-22AUG2023","001234",11587,"ATRION CORP","Ashley",155,"08/22/2023",0.0299717720401513,0.0341977480998431,0.0342491573254218,"High R&D","High R&D","High R&D",-0.030566055,-0.0711897348,-0.0806345882,-0.1024064278
"49330-01DEC2021","001257",49330,"ALEXANDER'S INC","Nappanee and Peru",192,"12/01/2021",0,0,0,"Low R&D","Low R&D","Low R&D",0.0326583145,0.0113845252,0.0092038695,-0.0317017556
"10145-01AUG2014","001300",10145,"HONEYWELL INTERNATIONAL INC","Moorestown",3,"08/01/2014",0.0461912687235949,0.0481591263372261,0.0462879969344869,"High R&D","High R&D","High R&D",-0.0125111747,-0.0223609591,-0.0108423709,-0.0147164303
"10145-01JUL2014","001300",10145,"HONEYWELL INTERNATIONAL INC","Moorestown",50,"07/01/2014",0.0461912687235949,0.0481591263372261,0.0462879969344869,"High R&D","High R&D","High R&D",0.0022283305,0.0028549463,-0.0014151471,0.0057054789
"45911-16FEB2023","001327",45911,"SKYWORKS SOLUTIONS INC",NA,129,"02/16/2023",0.112642420927901,0.119350488664659,0.117643950195733,"High R&D","High R&D","High R&D",-0.0292712935,-0.0359732898,-0.0037156882,0.0585541416
"24643-25SEP2015","001356",24643,"ALCOA INC","Lake Charles",130,"09/25/2015",0.00911904961097632,0.00858917125159697,0.00828451117835867,"Low R&D","Low R&D","Low R&D",0.0800190573,0.0276508551,0.022076282,0.1457313817
"85257-03MAY2018","001598",85257,"AMETEK INC","Irvine",42,"05/03/2018",0.0303243825244118,0.0295844800282181,0.0289082909718511,"High R&D","High R&D","High R&D",0.026008443,0.0288102838,0.0047417253,-0.0405118302
"85257-10MAY2022","001598",85257,"AMETEK INC","Knightdale",60,"05/10/2022",0.035012982929458,0.0337991683785005,0.0321637635991343,"High R&D","High R&D","High R&D",0.0167200003,0.0023158285,-0.0252273716,-0.0178009681
"14008-17JUL2023","001602",14008,"AMGEN INC","835 Industrial Road, Suite 600 San Carlos CA 94070",4,"07/17/2023",0.16844584583824,0.192448932592069,0.1849588164566,"High R&D","High R&D","High R&D",0.0231598736,0.0453162475,0.0771344471,0.0766989123
"14008-10FEB2021","001602",14008,"AMGEN INC","Newbury Park",531,"02/10/2021",0.165473568281938,0.170973617596243,0.170668400881227,"High R&D","High R&D","High R&D",0.003307046,-0.0107139841,-0.0316878143,-0.1002905825
"14008-17MAR2023","001602",14008,"AMGEN INC","1 Amgen Center Drive Newbury Park CA 91320",425,"03/17/2023",0.16844584583824,0.192448932592069,0.1849588164566,"High R&D","High R&D","High R&D",-0.0092402428,-0.0306773578,0.0378232345,0.000870894100000002
"14008-28OCT2014","001602",14008,"AMGEN INC","Newbury Park",349,"10/28/2014",0.218622831441422,0.205880653585339,0.201099538050817,"High R&D","High R&D","High R&D",0.0621095887,0.0570091141,0.0808457063,0.0736563547
"60871-11DEC2023","001632",60871,"ANALOG DEVICES INC","90 Rio Robles San Jose CA 95134",109,"12/11/2023",0.134914366611653,0.151189160661639,0.165946028443467,"High R&D","High R&D","High R&D",0.0212112026,0.0565047226,0.0312209445,0.0423599216634
"14593-28DEC2020","001690",14593,"APPLE INC","Newport Beach",7,"12/28/2020",0.0683095641403931,0.061429667917984,0.056302119270833,"High R&D","High R&D","High R&D",0.0203640101,0.0088613517,-0.0015345524,-0.0592423612
"14593-02APR2024","001690",14593,"APPLE INC","3689 Kifer Road Santa Clara CA 95051",371,"04/02/2024",0.0780489713920451,0.0681749080348199,0.0670331302204035,"High R&D","High R&D","High R&D",-0.0001649953,0.0012077752,-0.0093614906,-0.0020819037
"14593-01APR2023","001690",14593,"APPLE INC","Brooklyn Center",39,"04/01/2023",0.0665714836379867,0.0649284389509359,0.0621529512932733,"High R&D","High R&D","High R&D",0.0091625743,0.0149913328,-0.0249252991,0.0290300192
"14702-20NOV2013","001704",14702,"APPLIED MATERIALS INC","Austin",1,"11/20/2013",0.175789053136237,0.141322400124443,0.146008058961488,"High R&D","High R&D","High R&D",0.0185848699,-0.0235630302,-0.0446889141,-0.1002818556
"14702-19JAN2014","001704",14702,"APPLIED MATERIALS INC","Santa Clara",2,"01/19/2014",0.175789053136237,0.141322400124443,0.146008058961488,"High R&D","High R&D","High R&D",-0.0001528148,-0.0034832151,-0.0188523025,-0.014218483
"14702-17NOV2013","001704",14702,"APPLIED MATERIALS INC","Santa Clara",3,"11/17/2013",0.175789053136237,0.141322400124443,0.146008058961488,"High R&D","High R&D","High R&D",-0.0347456284,-0.037524678,-0.0518428001,-0.0726923809
"14702-30AUG2013","001704",14702,"APPLIED MATERIALS INC","Santa Clara",1,"08/30/2013",0.141874068127079,0.122645093974686,0.138014460486914,"High R&D","High R&D","High R&D",0.0021077516,0.0117182855,-0.0288128641,-0.0188861093
"14702-20NOV2013","001704",14702,"APPLIED MATERIALS INC","Austin",2,"11/20/2013",0.175789053136237,0.141322400124443,0.146008058961488,"High R&D","High R&D","High R&D",0.0185848699,-0.0235630302,-0.0446889141,-0.1002818556
"10516-01OCT2014","001722",10516,"ARCHER-DANIELS-MIDLAND CO","Hazleton",82,"10/01/2014",0.000656986325776135,0.000676548957928165,0.000732018694826029,"Low R&D","Low R&D","Low R&D",-0.0095300246,-0.007012146,-0.0665942834,-0.1516679826
"10516-26AUG2022","001722",10516,"ARCHER-DANIELS-MIDLAND CO","Keokuk",65,"08/26/2022",0.00200588863212472,0.00229131137301146,0.00223722333581104,"Low R&D","Low R&D","Low R&D",0.0286696318,0.0160633234,0.002637279,-0.0107886672
"10516-05AUG2020","001722",10516,"ARCHER-DANIELS-MIDLAND CO","Lodi",116,"08/05/2020",0.00238183617916357,0.00223133957972813,0.00206423769132846,"Low R&D","Low R&D","Low R&D",0.0033108347,0.0036770015,0.0125713134,0.0734625966
"29209-01FEB2018","001773",29209,"ARROW ELECTRONICS INC","Bensalem",13,"02/01/2018",0,0,0,"Low R&D","Low R&D","Low R&D",0.0185796386,0.0361796166,0.0476285946,0.0202772673
"29209-16JUL2019","001773",29209,"ARROW ELECTRONICS INC","Gahanna",304,"07/16/2019",0,0,0,"Low R&D","Low R&D","Low R&D",-0.01850126,-0.0128372311,0.0038473089,-0.0164400983
"29209-18JUL2019","001773",29209,"ARROW ELECTRONICS INC","Reno",91,"07/18/2019",0,0,0,"Low R&D","Low R&D","Low R&D",0.0129764814,0.015043167,0.0258738548,0.0338018448
"29209-20SEP2013","001773",29209,"ARROW ELECTRONICS INC","Austin",60,"09/20/2013",0,0,0,"Low R&D","Low R&D","Low R&D",0.0075176707,0.013799643,-0.0024782199,0.0155040037
"29209-23FEB2018","001773",29209,"ARROW ELECTRONICS INC","Dallas",66,"02/23/2018",0,0,0,"Low R&D","Low R&D","Low R&D",-0.012276977,0.0187287224,0.0084942638,-0.0152369446
"29209-27NOV2024","001773",29209,"ARROW ELECTRONICS INC","3021 Kenneth Street Santa Clara CA 95054",92,"11/27/2024",0,0,0,"Low R&D","Low R&D","Low R&D",-0.0157127755,0.0272714029,0.0285882699,0.0439355949
"24272-01JAN2023","001794",24272,"ASHLAND INC","South Hackensack",10,"01/01/2023",0.0230029276453367,0.0247344773553823,0.0246773233059064,"High R&D","High R&D","High R&D",-0.0097735434,-0.0331296477,-0.0015859461,0.0187555327
"85631-17AUG2022","001878",85631,"AUTODESK INC","111 McInnis Parkway San Rafael CA 94903",578,"08/17/2022",0.254149188400511,0.25336628695577,0.281915173668458,"High R&D","High R&D","High R&D",-0.015287459,-0.0170484014,-0.0158686952,-0.0159643901
"85631-04DEC2017","001878",85631,"AUTODESK INC","San Francisco",108,"12/04/2017",0.377203348104382,0.327119080253278,0.301919138320624,"High R&D","High R&D","High R&D",-0.0160045303,-0.1746066872,-0.2412654161,-0.2803891225
"85631-15FEB2023","001878",85631,"AUTODESK INC","1 Market Street San Francisco CA 94105",61,"02/15/2023",0.243556443556444,0.2479072945133,0.257155685369146,"High R&D","High R&D","High R&D",0.0014250843,-0.0161318473,0.0388920516,-0.0554935119
"44644-01JUN2024","001891",44644,"AUTOMATIC DATA PROCESSING","Roseland",79,"06/01/2024",0.0469015445087219,0.0476875576039162,0.0468308880798607,"High R&D","High R&D","High R&D",0.0180501766,0.0219155531,-0.0144042527,-0.0078160241
