"uid","permno","CAR_1_Day_Window","CAR_10_Day_Window","CAR_3_Day_Window","CAR_5_Day_Window"
"10026-10SEP2024",10026,-0.032705111,0.0050840292,-0.0274791348,-0.0062648264
"10026-29MAY2020",10026,-0.0451110904,0.0361491606,0.0307753871,0.0902980873
"10104-02FEB2024",10104,0.0208889981,-0.0304629982,0.0210745449,-0.0127891051
"10107-10AUG2023",10107,-0.013091031,-0.0353694445,-0.0194974442,-0.0150897566
"10107-20JAN2016",10107,-0.0071727671,0.0080351912,0.0029476132,-0.0107221293
"10145-01AUG2014",10145,-0.0125111747,-0.0147164303,-0.0223609591,-0.0108423709
"10145-01JUL2014",10145,0.0022283305,0.0057054789,0.0028549463,-0.0014151471
"10253-07MAR2017",10253,-0.121681132,-0.4204438211,-0.2090235931,-0.2358597666
"10302-13MAY2015",10302,0.019210176,0.0048001433,0.004211888,0.0016773146
"10302-26SEP2016",10302,0.0069826428,-0.0514666477,0.0016452073,-0.0296472817
"10363-10JUN2020",10363,-0.130269654,0.075465446,-0.1483456709,-0.1849712711
"10382-11MAR2014",10382,0.0662204655,0.1970243022,0.0846890236,0.0893804804
"10382-14JAN2020",10382,-0.0106398495,-0.0263735735,-0.0311633972,-0.0236020768
"10516-01OCT2014",10516,-0.0095300246,-0.1516679826,-0.007012146,-0.0665942834
"10516-05AUG2020",10516,0.0033108347,0.0734625966,0.0036770015,0.0125713134
"10516-26AUG2022",10516,0.0286696318,-0.0107886672,0.0160633234,0.002637279
"10606-14SEP2012",10606,0.0097743337,0.020422278,0.0109258756,0.0159405175
"10645-24MAR2023",10645,0.022053508,-0.0271625452,0.0195155556,-0.0160330266
"10890-01JUN2012",10890,-0.052843673,-0.0981958134,-0.0361459789,-0.0940264945
"10890-14MAY2018",10890,-0.0157256489,-0.00191074650000001,-0.0292331857,-0.0501279968
"10909-01NOV2019",10909,-0.023844413,-0.0631508507,-0.0235891158,-0.0445440427
"10909-17SEP2020",10909,-0.0096691713,0.0234676143,-0.0260697949,-0.0205792944
"10909-23JUN2020",10909,-0.056563769,-0.0395887404,-0.0294382157,-0.00108050699999999
"10909-31JUL2019",10909,-0.0104544268,-0.0489689855,-0.0072530523,-0.0034779173
"10966-01MAR2017",10966,-0.031591718,-0.104352925,-0.0815747407,-0.064052764
"11154-18NOV2015",11154,0.043076585,0.1607147156,0.0494167346,0.0348547748
"11379-23MAR2020",11379,0.4857704346,-0.0873117107,0.3983240453,-0.0619505323
"11403-04JAN2014",11403,0.02264559,0.0637232217,0.0302820538,0.058184052
"11441-27APR2020",11441,-0.0299832821,0.3583743446,-0.0417346641,0.268260518
"11499-24NOV2015",11499,-0.0094289496,-0.2715465104,-0.0053953797,-0.0774897823
"11511-17APR2017",11511,-0.013472063,-0.0197725846,-0.0723413439,0.0272391391
"11547-30JUN2022",11547,-0.0082490162,-0.0064231699,0.0096231116,0.0224628188
"11587-15APR2020",11587,-0.048198769,-0.0466195853,-0.1129393003,-0.1033421567
"11587-18JAN2011",11587,-0.0222851969,-0.1030200695,-0.02806882,-0.0214544886
"11587-22AUG2023",11587,-0.030566055,-0.1024064278,-0.0711897348,-0.0806345882
"11587-25MAR2011",11587,-0.0139331676,0.0098439426,-0.0328960025,0.008098887
"11600-07AUG2020",11600,-0.0300264727,-0.0020884931,0.0040021798,-0.0212593639
"11636-11JUL2022",11636,-0.0121897476,-0.2054638427,0.0337421821,0.0312091745
"11803-02JUL2014",11803,0.038770121,0.0801105039,0.0312544099,0.0494311228
"11803-26MAR2024",11803,0.1006546598,0.1604414753,0.1410662121,0.1104881037
"11850-01AUG2024",11850,-0.0132791799,-0.011134353,-0.0300965161,0.0121081417
"11850-01NOV2011",11850,-0.0163011362,-0.0231001621,-0.0414734087,-0.0114829087
"11850-02DEC2020",11850,0.047243865,0.1508714284,0.000392656699999995,0.0869675975
"11891-05MAY2020",11891,-0.088061629,0.0879404823,-0.0992544903,-0.0757790593
"11891-11MAY2020",11891,-0.0655935749,0.186356768,-0.0369658947,-0.0328961759
"11891-21SEP2022",11891,-0.0419096911,0.0890743303,-0.0063082287,0.0083495885
"11896-21JUL2015",11896,-0.0375837247,-0.0501928766,0.0535276504,0.0750774533
"11896-29JAN2016",11896,0.0143133765,-0.0216034087,-0.0021227399,-0.0159074474
"12009-01AUG2019",12009,0.3680660734,0.3719929054,0.3723262735,0.3410747511
"12009-01DEC2022",12009,0.0371298964,0.1576967834,-0.0302940545,0.0137044345
"12009-01FEB2016",12009,0.0169809259,0.3623668031,0.1128125104,0.2323739234
"12009-03APR2014",12009,0.0118722168,0.0423398581,3.28300000000007e-05,0.0246506971
"12009-04JAN2019",12009,0.0509209531,0.0486164156,0.1568785481,0.1479719114
"12009-08MAR2023",12009,-0.0046113268,-0.024492903,-0.2079307214,-0.170711898
"12009-17DEC2014",12009,-0.011729294,0.1068448092,0.0445691568,0.0820724375
"12009-22NOV2013",12009,0.0454632637,-0.1296626777,0.030997933,0.0099158828
"12009-28JAN2016",12009,0.082104217,0.3099628001,0.2011000577,0.2496864965
"12052-01AUG2018",12052,-0.0146876396,0.0064846131,-0.0378204805,-0.0183972258
"12052-01SEP2014",12052,0.00596524,-0.000278122499999997,-0.0053228936,-0.0013267866
"12052-05MAR2014",12052,-0.0114278046,-0.0029848198,0.000811050439299999,-0.0045735357
"12052-06FEB2014",12052,0.0204507701,0.072397618,-0.000486680600000001,0.0123918361
"12052-22MAR2022",12052,0.0398301979,-0.0800491917,0.046065204,-0.0359095347
"12052-27FEB2014",12052,0.0030994292,0.0149078588,0.0232674208,0.025669317
"12052-28MAY2011",12052,0.0287589509,-0.036672754,-0.000314587400000004,-0.00645527
"12052-30MAR2017",12052,-0.013133439,-0.0262137249,-0.0131075265,-0.0290596341
"12060-23JUN2023",12060,-0.0072657148,-0.0717093225,-0.0093938342,-0.0029403662
"12072-08JUL2013",12072,0.0207090732,0.0658489718,0.0513935258,0.053529332
"12076-01APR2019",12076,-0.0055931364,-0.133641656,0.0690860024,-0.0171428227
"12076-25MAR2019",12076,-0.000349108599999999,0.0390074096,0.0543084856,0.0628602905
"12089-03MAR2015",12089,-0.028450433,0.0462077495,0.0131268895,0.0305633682
"12348-28MAY2014",12348,0.0068493755,0.0273831348,0.018715665,0.0099865088
"12360-08MAY2024",12360,-0.1281031682,0.2743368502,0.0755274152,0.2039407338
"12360-20SEP2011",12360,-0.264230821,-0.5869372523,-0.2907127595,-0.2858762433
"12369-04MAR2019",12369,-0.0053269832,-0.0368006642,-0.0265320624,-0.0151517171
"12369-07DEC2023",12369,0.0233437474,0.224241937,0.0240382297,0.0984943594
"12369-07NOV2014",12369,0.0049382312,-0.0052149477,-0.0020423173,0.0144262668
"12369-19SEP2024",12369,0.014584829,-0.1293171022,0.0124480753,-0.0195648403
"12369-23MAY2019",12369,-0.046314428,-0.0998746606,-0.0484000956,-0.0989715745
"12369-25MAR2021",12369,-0.0114724202,-0.0555581297,-0.0456236723,-0.0681118177
"12374-19SEP2014",12374,-0.0276997999,-0.0287583383,-0.0228903535,-0.0558144327
"12486-11JAN2016",12486,-0.0544160126,-0.1181461514,-0.1116765104,-0.1379728395
"12486-27FEB2015",12486,0.1216961355,0.0925787804,0.0872513147,0.1746429492
"12503-12SEP2019",12503,0.0127652856,0.212451777,0.0925447428,0.1384406454
"12570-10OCT2016",12570,-0.0243323041,0.0464070839,0.009821306,0.0285220494
"12570-30JUN2020",12570,-0.0323475384,0.0257661857,0.0229782768,0.0256648912
"12623-04SEP2013",12623,-0.0062405278,0.0120233605,-0.0067118699,-0.0031325905
"12639-03JUN2021",12639,0.0953991389,0.0835195081,0.1307871309,0.1192943726
"12640-02APR2012",12640,-0.001497215,0.0191030224,-0.0041841806,0.0003741928
"12660-01MAR2020",12660,-0.0182368492,-0.2467741371,-0.195582115,-0.1888581046
"12681-01MAY2018",12681,0.0489203829,0.108546322,0.0860907206,0.1161763126
"12797-10NOV2017",12797,NA,NA,NA,NA
"12873-13JAN2017",12873,0.0801808558,-0.0377377204,0.092850083,0.0385926021
"12894-02FEB2016",12894,0.000317974700000001,0.092790779,0.2885046013,0.4055264253
"12894-07MAR2016",12894,0.1771195438,0.0181016420000001,0.4598301468,0.6694927919
"12960-06SEP2018",12960,0.0249073298,-0.1577147191,-0.0503468917,-0.075802982
"13035-26JUL2017",13035,-0.0155130242,0.0975909882,0.004413304,0.0608064293
"13111-28JUL2017",13111,-0.0144223102,-0.2533763941,-0.0840352692,-0.0548789293
"13142-20APR2020",13142,-0.0083384073,0.2921212757,-0.1562819449,-0.0293437715
"13167-01FEB2019",13167,-0.1500560509,0.3009785599,-0.3023677264,-0.1680709722
"13169-03JUN2013",13169,-0.1092300321,-0.2319422687,-0.1734822013,-0.2060555492
"13169-11FEB2014",13169,0.0315290006,0.3611844875,-0.0056862184,0.0094252756
"13169-13MAY2015",13169,0.0487798194,0.2495306514,0.0545871543,0.1783496143
"13263-01DEC2019",13263,0.0728122558,-0.0550015629,-0.0262880946,0.1100708725
"13263-27FEB2017",13263,0.1519518893,0.3718035869,0.2776929827,0.2287053477
"13303-04JUN2014",13303,0.0026042928,-0.0043278189,0.0192926322,-0.0211192457
"13303-08MAR2021",13303,0.0747097994,0.2497941465,0.0798535944,0.145633446
"13303-14MAR2012",13303,-0.026138462,0.0078589404,-0.0043574063,-0.0182014121
"13303-27NOV2013",13303,0.0435089436,-0.0021956206,0.0292874615,0.022653385
"13303-30JUN2020",13303,0.1402532413,-0.0185830138,0.0181868614,-0.0839536763
"13305-06JUL2023",13305,-0.0007372928,0.0626142325,0.0035074856,0.02296322
"13318-09APR2020",13318,-0.0483475466,-0.1428948692,-0.0248524411,0.0168182353
"13323-30JAN2017",13323,-0.063423985,0.2229767037,-0.0733587422,-0.2185754509
"13356-11JAN2023",13356,-0.0156261177,-0.000874872600000006,-0.0521948145,0.0035507774
"13373-01MAY2014",13373,-0.012030137,-0.1953084415,-0.0715203135,-0.1126668306
"13379-13DEC2023",13379,-0.024464263,-0.1170790075,-0.053354297,-0.0764198762
"13407-11NOV2022",13407,0.0301840699,0.0751899691,0.104883515,0.1498573408
"13407-16NOV2022",13407,-0.0150114027,0.1829265242,-0.0059044881,0.0897338096
"13407-26JUN2023",13407,-0.0080861048,-0.0933736909,-0.0571616626,-0.0747559545
"13452-28JUN2015",13452,-0.078042073,-0.1261282904,-0.1061081691,-0.1816832054
"13527-06JAN2022",13527,-0.0463925699,-0.0406509158,-0.1045581847,-0.0972411938
"13543-18DEC2014",13543,-0.0057358291,0.0673522019,-0.0017480345,0.0178003791
"13548-24APR2020",13548,0.1157504793,0.3999456801,0.4205987142,0.2744026248
"13548-27APR2020",13548,0.182670883,0.2446817276,0.3280024279,0.154392368
"13586-07NOV2017",13586,-0.0011767045,-0.0324125819,-0.0135736816,-0.0256261164
"13586-30AUG2022",13586,-0.0085227557,-0.019739739,-0.023988038,-0.0059812068
