"gvkey","tic","Company","conm","City","Number.of.Workers","WARN.Received.Date","Effective.Date"
"039907","TSVT","2seventy bio, Inc.","2SEVENTY BIO INC","Cambridge",145,"09/13/2023","11/17/2023"
"014898","DDD","3D Systems","3D SYSTEMS CORP","Lawrenceburg",19,"05/27/2014","04/11/2014"
"007435","MMM","3M","3M CO","Enfield",69,"07/29/2014","10/01/2014"
"007435","MMM","3M 2019","3M CO","Maplewood",NA,"04/01/2019",NA
"007435","MMM","3M Company","3M CO","Elyria",136,"03/29/2017","05/31/2017-08/31/2017"
"024842","POCI","3M Precision Optics","PRECISION OPTICS CORP INC","Cincinnati",106,"10/20/2008","10/17/2008"
"024842","POCI","3M Precision Optics, Inc.","PRECISION OPTICS CORP INC","Cincinnati",148,"12/05/2005","02/03/2006"
"185703","LEAF","4 Leaf LLC","LEAF GROUP LTD","Portland",63,"09/17/2021","09/30/2021"
"039377","ROVR","4Over, Inc.","ROVER GROUP INC","Los Angeles",58,"07/07/2020","06/19/2020"
"065021","EGHT","8x8, Inc.","8X8 INC","675 Creekside Way Campbell CA 95008",61,"01/20/2023","03/20/2023"
"187287","FTTN","A Firstgroup America Co Dba- First Transit","FIRST TITAN CORP","Los Angeles",177,"02/28/2009",NA
"066446","PWR","A Services Group","QUANTA SERVICES INC",NA,147,"04/17/2020","04/06/2020"
"010277","TE.1","A-TEC Energy Corp.","TECO ENERGY INC","Urbandale",3,"05/30/2019","06/28/2019"
"063986","PLUS","A-plus","EPLUS INC","wyckoff",1,"03/01/2020","03/20/2020"
"009472","SHLM","A. Schulman, Inc","SCHULMAN (A.) INC","Stryker",67,"01/05/2015","03/02/2015-04/03/2015"
"009472","SHLM","A. Schulman, Inc.","SCHULMAN (A.) INC","Worcester",109,"07/15/2019","03/20/2020"
"019987","AEGXF","A.I.M Recon LLC","AECON GROUP INC","Oxford",59,"10/09/2024","10/18/2024"
"014985","VASO","A.S.O,LLC","VASO CORP","lawrenceville",12,NA,"07/11/2020"
"005047","GE","A/E Aerospace","GE AEROSPACE","Tempe",60,"11/10/2009","01/10/2010"
"001004","AIR","AARP","AAR CORP",NA,73,"08/01/2013","12/31/2013"
"001410","ABM","ABA Industries","ABM INDUSTRIES INC","Pinellas Park",48,"02/28/2003","02/28/2003"
"210418","ABBNY","ABB","ABB LTD",NA,1,"05/03/2010","06/30/2010"
"210418","ABBNY","ABB Inc","ABB LTD","Davenport",247,"10/18/2021","12/17/2021"
"210418","ABBNY","ABB Inc.","ABB LTD",NA,31,"11/04/2020","12/31/2020"
"210418","ABBNY","ABB, INC.","ABB LTD","Muscle Shoals",159,"01/26/2011","04/04/2011"
"210418","ABBNY","ABB, Inc.","ABB LTD","Lake Mary",6,"01/25/2021","02/28/2021"
"001078","ABT","ABBOTT LABORATORIES","ABBOTT LABORATORIES","EDISON",143,"12/01/2008","02/04/2009"
"061122","DIT","ABC Distributing, LLC","AMCON DISTRIBUTING CO","Hialeah, North Miami",1035,"03/13/2006","5/31/2006-6/30/2006"
"034500","ABCT.","ABC Technologies","ABC TECHNOLOGS HOLDINGS INC",NA,680,"04/01/2020","03/20/2020"
"039175","ABSI","ABC123 Childcare Center","ABSCI CORP","Dilworth",1,"10/01/2024","10/01/2024"
"007275","MLAB","ABLE LABORATORIES","MESA LABORATORIES INC","STATEWIDE",NA,"12/01/2005","12/31/2005"
"014999","ACAVF","ABM Aviation","ACE AVIATION HOLDINGS INC","St. Louis",85,"01/21/2021","02/28/2021"
"014999","ACAVF","ABM Aviation, Inc","ACE AVIATION HOLDINGS INC",NA,119,"12/03/2021","02/01/2022"
"014999","ACAVF","ABM Aviation, Inc.","ACE AVIATION HOLDINGS INC",NA,90,"06/17/2021","06/30/2021"
"017962","ALYE","ABM General Services","ALY ENERGY SERVICES INC","North Randall",102,"03/19/2024","03/19/2024"
"001410","ABM","ABM Industries","ABM INDUSTRIES INC","Orland Park",92,"07/06/2022","06/03/2022"
"001410","ABM","ABM Industries - 1120","ABM INDUSTRIES INC","Houston",9,"08/30/2022","09/23/2022"
"001410","ABM","ABM Industries - 1140","ABM INDUSTRIES INC","Houston",8,"08/30/2022","09/03/2022"
"001410","ABM","ABM Industries - 902","ABM INDUSTRIES INC","Houston",13,"08/30/2022","09/03/2022"
"001410","ABM","ABM Industries - 909","ABM INDUSTRIES INC","Houston",5,"08/30/2022","09/03/2022"
"001410","ABM","ABM Industries - 915 Gessner","ABM INDUSTRIES INC","Houston",13,"08/30/2022","09/03/2022"
"001410","ABM","ABM Industries - 920","ABM INDUSTRIES INC","Houston",9,"08/30/2022","09/03/2022"
"001410","ABM","ABM Industries Inc.","ABM INDUSTRIES INC",NA,136,"06/30/2020","08/29/2020"
"001410","ABM","ABM Industries, Inc","ABM INDUSTRIES INC",NA,93,"05/04/2020","04/30/2020"
"001410","ABM","ABM Industry Group","ABM INDUSTRIES INC",NA,94,"01/18/2024","03/18/2024"
"001410","ABM","ABM Industry Group Inc.","ABM INDUSTRIES INC","Alexandria, Ashburn, Burke, Fair Oaks, Falls Church, Haymarket, Manassas, McLean, Reston",85,"01/19/2022","02/28/2022"
"001410","ABM","ABM Industry Group, Inc.","ABM INDUSTRIES INC","Goodyear",87,"01/18/2024",NA
"001410","ABM","ABM Industry Group, LLC","ABM INDUSTRIES INC",NA,69,"06/06/2022","08/01/2022"
"041956","FBGL","ABS Global","FBS GLOBAL LTD","Poynette",36,"02/19/2024","04/19/2024"
"025540","ITEX","ABS Global Trading Ltd. dba BitMEX","ITEX CORP","San Francisco",29,"11/15/2021","12/08/2021"
"177925","WBC","ABTCO","WABCO HOLDINGS INC",NA,63,"02/01/2000",NA
"020539","PBFX","ABX Logistics","PBF LOGISTICS LP","Belleville",62,"11/26/2008",NA
