WARN#,Company Name,City,State,Layoff Date,Laid Off,Layoff Type,Received Date
9322,Oregon - Remote Employees,NA,OR,10/13/2025,23,Large Layoff - 10 or more workers,08/12/2025
9306,Portland - Production Facility,Portland,OR,08/05/2025,90,Large Layoff - 10 or more workers,07/29/2025
9296,Oregon Mutual,McMinnville,OR,09/12/2025,10,Reduction,07/11/2025
9296,Oregon - Remote Employees,NA,OR,09/12/2025,32,Reduction,07/11/2025
9293,Aloha Facility,Aloha,OR,07/15/2025,194,Reduction,07/07/2025
9293,"Century Blvd., Hillsboro",Hillsboro,OR,07/15/2025,1544,Reduction,07/07/2025
9293,"Elam Young Pkwy., Hillsboro",Hillsboro,OR,07/15/2025,174,Reduction,07/07/2025
9293,"25th Ave., Hillsboro",Hillsboro,OR,07/15/2025,597,Reduction,07/07/2025
9286,Rogue Valley Transportation District,Medford,OR,08/30/2025,82,Large Layoff - 10 or more workers,06/23/2025
9259,Tongue Point Job Corps Center,Astoria,OR,06/06/2025,168,Large Layoff - 10 or more workers,06/04/2025
9249,Remote Workers,NA,OR,07/28/2025,149,Large Layoff - 10 or more workers,05/29/2025
9249,Powin LLC,Tualatin,OR,07/28/2025,96,Large Layoff - 10 or more workers,05/29/2025
9210,Oregon - Remote Employees,Portand,OR,04/22/2025,16,Large Layoff - 10 or more workers,04/22/2025
9206,"Navajo Incorprated, Portland Facility",Portland,OR,06/30/2025,11,Large Layoff - 10 or more workers,04/16/2025
9199,Oregon - Statewide,NA,OR,06/02/2025,105,Large Layoff - 10 or more workers,03/26/2025
9179,Portland Facility,Portland,OR,06/26/2025,47,Large Layoff - 10 or more workers,04/27/2025
9068,Oregon - Remote Employees,NA,OR,02/19/2025,1,Reduction,12/20/2024
9068,"Vimo, Inc. dba GetInsured",Mountain View,CA,02/19/2025,429,Reduction,12/20/2024
9056,"Natural Fiber Welding, Inc.",Peoria,IL,02/08/2025,90,Reduction,12/10/2024
9056,Remote Workers - Oregon,Portland,OR,02/08/2025,1,Reduction,12/10/2024
9050,Cabinet Door Service,Salem,OR,11/20/2024,60,Large Layoff - 10 or more workers,11/19/2024
