Model,permno,uid,evtdate,date,evttime,ret,abret
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-09,-1,-0.005740181,-0.008785241
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-10,0,-0.00066849,-0.002023772
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-11,1,-0.018973486,-0.021896098
Market Model,10026,10026-29MAY2020,2020-05-29,2020-05-28,-1,-0.057076465,-0.050052276
Market Model,10026,10026-29MAY2020,2020-05-29,2020-05-29,0,-0.009395456,-0.012310003
Market Model,10026,10026-29MAY2020,2020-05-29,2020-06-01,1,0.0192801057,0.0172511886
Market Model,10104,10104-02FEB2024,2024-02-02,2024-02-01,-1,0.0342882722,0.0199189121
Market Model,10104,10104-02FEB2024,2024-02-02,2024-02-02,0,0.0022504977,-0.009290099
Market Model,10104,10104-02FEB2024,2024-02-02,2024-02-05,1,0.0051817946,0.010260185
Market Model,10107,10107-02JUN2025,2025-06-02,2025-05-30,,0.0036626842,0.0040674735
Market Model,10107,10107-02JUN2025,2025-06-02,2025-06-02,,0.003497263,-0.000370345
Market Model,10107,10107-02JUN2025,2025-06-02,2025-06-03,,0.0021646427,-0.004516496
Market Model,10107,10107-10AUG2023,2023-08-10,2023-08-09,-1,-0.011715994,-0.005440944
Market Model,10107,10107-10AUG2023,2023-08-10,2023-08-10,0,0.0021723614,-0.000441164
Market Model,10107,10107-10AUG2023,2023-08-10,2023-08-11,1,-0.005945561,-0.007208923
Market Model,10107,10107-14MAY2025,2025-05-14,2025-05-13,,-0.000267106,-0.007721687
Market Model,10107,10107-14MAY2025,2025-05-14,2025-05-14,,0.0084606136,0.0083692324
Market Model,10107,10107-14MAY2025,2025-05-14,2025-05-15,,0.0022519539,-0.000120982
Market Model,10107,10107-20JAN2016,2016-01-20,2016-01-19,-1,-0.008433026,-0.00793841
Market Model,10107,10107-20JAN2016,2016-01-20,2016-01-20,0,0.0045490506,0.0141181469
Market Model,10107,10107-20JAN2016,2016-01-20,2016-01-21,1,-0.006103564,-0.013352504
Market Model,10145,10145-01AUG2014,2014-08-01,2014-07-31,-1,-0.023812055,-0.002992738
