Model,permno,uid,evtdate,date,evttime,ret,abret
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-05,-3,-0.017019778,-0.016738334
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-06,-2,-0.011881306,-0.007721827
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-09,-1,-0.005740181,-0.009054266
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-10,0,-0.00066849,-0.002210492
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-11,1,-0.018973486,-0.022159159
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-12,2,0.0135755021,0.0110062057
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-13,3,0.0217112103,0.0193987375
Market Model,10026,10026-29MAY2020,2020-05-29,2020-05-26,-3,0.0384831686,0.0309602468
Market Model,10026,10026-29MAY2020,2020-05-29,2020-05-27,-2,0.0653721182,0.0553061383
Market Model,10026,10026-29MAY2020,2020-05-29,2020-05-28,-1,-0.057076465,-0.051145789
Market Model,10026,10026-29MAY2020,2020-05-29,2020-05-29,0,-0.009395456,-0.011750228
Market Model,10026,10026-29MAY2020,2020-05-29,2020-06-01,1,0.0192801057,0.0176636414
Market Model,10026,10026-29MAY2020,2020-05-29,2020-06-02,2,-0.018076424,-0.022153913
Market Model,10026,10026-29MAY2020,2020-05-29,2020-06-03,3,0.0208948268,0.0118952906
Market Model,10104,10104-02FEB2024,2024-02-02,2024-01-30,-3,0.0036043956,0.0052927837
Market Model,10104,10104-02FEB2024,2024-02-02,2024-01-31,-2,-0.021548704,-0.000813308
Market Model,10104,10104-02FEB2024,2024-02-02,2024-02-01,-1,0.0342882722,0.0198872625
Market Model,10104,10104-02FEB2024,2024-02-02,2024-02-02,0,0.0022504977,-0.009311206
Market Model,10104,10104-02FEB2024,2024-02-02,2024-02-05,1,0.0051817946,0.0103010102
Market Model,10104,10104-02FEB2024,2024-02-02,2024-02-06,2,-0.009365066,-0.012408853
Market Model,10104,10104-02FEB2024,2024-02-02,2024-02-07,3,0.017085863,0.0081268555
Market Model,10107,10107-10AUG2023,2023-08-10,2023-08-07,-3,0.0071084264,-0.003817662
Market Model,10107,10107-10AUG2023,2023-08-10,2023-08-08,-2,-0.012298931,-0.009241161
Market Model,10107,10107-10AUG2023,2023-08-10,2023-08-09,-1,-0.011715994,-0.005190228
Market Model,10107,10107-10AUG2023,2023-08-10,2023-08-10,0,0.0021723614,-0.000139671
Market Model,10107,10107-10AUG2023,2023-08-10,2023-08-11,1,-0.005945561,-0.006915142
Market Model,10107,10107-10AUG2023,2023-08-10,2023-08-14,2,0.0094389583,0.0015333829
Market Model,10107,10107-10AUG2023,2023-08-10,2023-08-15,3,-0.006727564,0.0042730369
Market Model,10107,10107-20JAN2016,2016-01-20,2016-01-14,-3,0.0284663052,0.0068291051
Market Model,10107,10107-20JAN2016,2016-01-20,2016-01-15,-2,-0.039917153,-0.015706088
Market Model,10107,10107-20JAN2016,2016-01-20,2016-01-19,-1,-0.008433026,-0.007752552
Market Model,10107,10107-20JAN2016,2016-01-20,2016-01-20,0,0.0045490506,0.0143264024
Market Model,10107,10107-20JAN2016,2016-01-20,2016-01-21,1,-0.006103564,-0.013185759
Market Model,10107,10107-20JAN2016,2016-01-20,2016-01-22,2,0.0358557845,0.009003041
Market Model,10107,10107-20JAN2016,2016-01-20,2016-01-25,3,-0.009562058,0.0094334637
Market Model,10145,10145-01AUG2014,2014-08-01,2014-07-29,-3,-0.014605443,-0.011252897
Market Model,10145,10145-01AUG2014,2014-08-01,2014-07-30,-2,0.0030923438,0.0018257416
Market Model,10145,10145-01AUG2014,2014-08-01,2014-07-31,-1,-0.023812055,-0.003009393
Market Model,10145,10145-01AUG2014,2014-08-01,2014-08-01,0,-0.002831319,0.0004185796
Market Model,10145,10145-01AUG2014,2014-08-01,2014-08-04,1,-0.002293328,-0.00992409
Market Model,10145,10145-01AUG2014,2014-08-01,2014-08-05,2,-0.001313485,0.0072740957
Market Model,10145,10145-01AUG2014,2014-08-01,2014-08-06,3,-0.007452872,-0.007692996
Market Model,10145,10145-01JUL2014,2014-07-01,2014-06-26,-3,-0.001609269,-0.000542007
Market Model,10145,10145-01JUL2014,2014-07-01,2014-06-27,-2,0.0021491511,-0.000533774
Market Model,10145,10145-01JUL2014,2014-07-01,2014-06-30,-1,-0.00332404,-0.004131872
Market Model,10145,10145-01JUL2014,2014-07-01,2014-07-01,0,0.0176438946,0.0098565462
Market Model,10145,10145-01JUL2014,2014-07-01,2014-07-02,1,-0.003277302,-0.003043414
Market Model,10145,10145-01JUL2014,2014-07-01,2014-07-03,2,0.0063640221,0.0001392521
Market Model,10145,10145-01JUL2014,2014-07-01,2014-07-07,3,-0.005269815,0.001110215
Market Model,10253,10253-07MAR2017,2017-03-07,2017-03-02,-3,0,-0.010030271
Market Model,10253,10253-07MAR2017,2017-03-07,2017-03-03,-2,0,-0.001457059
Market Model,10253,10253-07MAR2017,2017-03-07,2017-03-06,-1,-0.059259259,-0.065662402
Market Model,10253,10253-07MAR2017,2017-03-07,2017-03-07,0,-0.047244094,-0.053427412
Market Model,10253,10253-07MAR2017,2017-03-07,2017-03-08,1,0,-0.00442471
Market Model,10253,10253-07MAR2017,2017-03-07,2017-03-09,2,-0.082644628,-0.084431426
Market Model,10253,10253-07MAR2017,2017-03-07,2017-03-10,3,0.009009009,0.0104096869
Market Model,10302,10302-13MAY2015,2015-05-13,2015-05-08,-3,0.0149724192,-0.005261106
Market Model,10302,10302-13MAY2015,2015-05-13,2015-05-11,-2,-0.019409938,-0.0169442
Market Model,10302,10302-13MAY2015,2015-05-13,2015-05-12,-1,0.004354711,0.0049761337
Market Model,10302,10302-13MAY2015,2015-05-13,2015-05-13,0,-0.002759164,-0.005968242
Market Model,10302,10302-13MAY2015,2015-05-13,2015-05-14,1,0.0387351779,0.0213390609
Market Model,10302,10302-13MAY2015,2015-05-13,2015-05-15,2,-0.005327245,-0.009103804
Market Model,10302,10302-13MAY2015,2015-05-13,2015-05-18,3,0.0244835501,0.0151740454
Market Model,10302,10302-26SEP2016,2016-09-26,2016-09-21,-3,0.0067681895,-0.015092804
Market Model,10302,10302-26SEP2016,2016-09-26,2016-09-22,-2,-0.000840336,-0.015158129
Market Model,10302,10302-26SEP2016,2016-09-26,2016-09-23,-1,-0.009251472,-0.000221265
Market Model,10302,10302-26SEP2016,2016-09-26,2016-09-26,0,-0.008488964,0.0055700421
Market Model,10302,10302-26SEP2016,2016-09-26,2016-09-27,1,0.0154109589,0.0021707657
Market Model,10302,10302-26SEP2016,2016-09-26,2016-09-28,2,0.0085106383,-0.003292755
Market Model,10302,10302-26SEP2016,2016-09-26,2016-09-29,3,0.011814346,0.0276693525
Market Model,10363,10363-10JUN2020,2020-06-10,2020-06-05,-3,0.0301274623,0.0123902311
Market Model,10363,10363-10JUN2020,2020-06-10,2020-06-08,-2,0.0067491564,-0.000221071
Market Model,10363,10363-10JUN2020,2020-06-10,2020-06-09,-1,-0.03575419,-0.022033046
Market Model,10363,10363-10JUN2020,2020-06-10,2020-06-10,0,-0.05967555,-0.048856816
Market Model,10363,10363-10JUN2020,2020-06-10,2020-06-11,1,-0.108441158,-0.047438824
Market Model,10363,10363-10JUN2020,2020-06-10,2020-06-12,2,-0.018659295,-0.025067766
Market Model,10363,10363-10JUN2020,2020-06-10,2020-06-15,3,-0.012676056,-0.017118379
Market Model,10382,10382-11MAR2014,2014-03-11,2014-03-06,-3,0.0034005344,0.0021359739
