WARN#,Company Name,City,State,Layoff Date,Laid Off,Layoff Type,Received Date
9328,Remote Workers,,OR,10/19/2025,16,Permanent closure,08/20/2025
9328,Remote Workers - Oregon,,OR,10/19/2025,9,Permanent closure,08/20/2025
9322,Oregon - Remote Employees,,OR,10/13/2025,23,Large Layoff - 10 or more workers,08/12/2025
9306,Portland - Production Facility,Portland,OR,08/05/2025,90,Large Layoff - 10 or more workers,07/29/2025
9299,Store #128,Portland,OR,09/20/2025,249,Permanent closure,07/16/2025
9296,Oregon Mutual,McMinnville,OR,09/12/2025,10,Reduction,07/11/2025
9296,Oregon - Remote Employees,,OR,09/12/2025,32,Reduction,07/11/2025
9294,"Outside Van, LLC",Portland,OR,09/12/2025,56,Permanent closure,07/08/2025
9293,Aloha Facility,Aloha,OR,07/15/2025,194,Reduction,07/07/2025
9293,"Century Blvd., Hillsboro",Hillsboro,OR,07/15/2025,1544,Reduction,07/07/2025
9293,"Elam Young Pkwy., Hillsboro",Hillsboro,OR,07/15/2025,174,Reduction,07/07/2025
9293,"25th Ave., Hillsboro",Hillsboro,OR,07/15/2025,597,Reduction,07/07/2025
9286,Rogue Valley Transportation District,Medford,OR,08/30/2025,82,Large Layoff - 10 or more workers,06/23/2025
9285,Pilot Rock Sawmill,Pilot Rock,OR,09/01/2025,62,Permanent closure,07/01/2025
9273,Prineville Facility,Prineville,OR,08/25/2025,184,Permanent closure,06/24/2025
9268,PIVOT Job Corps Center Facility,Portland,OR,06/30/2025,12,Permanent closure,06/09/2025
9267,Springdale Job Corps Center,Troutdale,OR,06/30/2025,77,Permanent closure,06/09/2025
9259,Tongue Point Job Corps Center,Astoria,OR,06/06/2025,168,Large Layoff - 10 or more workers,06/04/2025
9257,"ESS Tech, Inc.",Wilsonville,OR,05/30/2025,195,Permanent closure,05/27/2025
9249,Remote Workers,,OR,07/28/2025,149,Large Layoff - 10 or more workers,05/29/2025
9249,Powin LLC,Tualatin,OR,07/28/2025,96,Large Layoff - 10 or more workers,05/29/2025
9230,Store 0505 - Portland,Portland,OR,07/01/2025,87,Permanent closure,04/30/2025
9218,Chiloquin Facility,Chiloquin,OR,06/30/2025,128,Permanent closure,05/01/2025
9210,Oregon - Remote Employees,Portand,OR,04/22/2025,16,Large Layoff - 10 or more workers,04/22/2025
9207,"Lignetics, Inc. - Cascade Locks Facilit",Cascade Locks,OR,06/30/2025,11,Temporary Layoff,04/21/2025
9206,"Navajo Incorprated, Portland Facility",Portland,OR,06/30/2025,11,Large Layoff - 10 or more workers,04/16/2025
9204,Safeway Store 4381,Baker City,OR,05/25/2025,82,Permanent closure,03/26/2025
9199,Oregon - Statewide,,OR,06/02/2025,105,Large Layoff - 10 or more workers,03/26/2025
9198,"Portland, Oregon Facility",Portland,OR,05/31/2025,72,Permanent closure,04/08/2025
9179,Portland Facility,Portland,OR,06/26/2025,47,Large Layoff - 10 or more workers,04/27/2025
9178,UPS,Atlanta,GA,06/30/2025,244,Temporary Layoff,03/28/2025
9131,Portland - Site,Portland,OR,02/18/2025,96,Permanent closure,02/18/2025
9082,Macy's - Salem Center,Salem,OR,03/18/2025,56,Permanent closure,01/09/2025
9068,Oregon - Remote Employees,,OR,02/19/2025,1,Reduction,12/20/2024
9068,"Vimo, Inc. dba GetInsured",Mountain View,CA,02/19/2025,429,Reduction,12/20/2024
9057,Albertsons Store 0515,Roseburg,OR,02/07/2025,87,Permanent closure,12/06/2024
9056,"Natural Fiber Welding, Inc.",Peoria,IL,02/08/2025,90,Reduction,12/10/2024
9056,Remote Workers - Oregon,Portland,OR,02/08/2025,1,Reduction,12/10/2024
9050,Cabinet Door Service,Salem,OR,11/20/2024,60,Large Layoff - 10 or more workers,11/19/2024
9049,Wells Fargo N.A. William Barnhart Cente,Hillsboro,OR,10/01/2025,500,Permanent closure,12/03/2024
9048,Hawthorne Ave - Salem,Salem,OR,10/01/2025,221,Permanent closure,12/03/2024
9034,The Boeing Company - Oregon Location,Portland,OR,01/17/2025,50,Reduction,11/15/2024
9029,#4184 - Portland,Portland,OR,03/10/2025,13,Permanent closure,11/14/2024
9029,#4324 - Sandy,Sandy,OR,03/10/2025,16,Permanent closure,11/14/2024
9029,#3911 - Milwaukie,Milwaukie,OR,03/09/2025,14,Permanent closure,11/14/2024
9029,#3573 - Gresham,Gresham,OR,03/09/2025,12,Permanent closure,11/14/2024
9029,#3574 - Gresham,Gresham,OR,03/05/2025,9,Permanent closure,11/14/2024
9029,#9938 - Portland,Portland,OR,03/05/2025,9,Permanent closure,11/14/2024
9029,#3113 - Beaverton,Beaverton,OR,03/05/2025,9,Permanent closure,11/14/2024
9029,#7866 - Beaverton,Beaverton,OR,02/27/2025,8,Permanent closure,11/14/2024
9029,#4181 - Portland,Portland,OR,02/26/2025,9,Permanent closure,11/14/2024
9029,Distribution Center - Portland,Portland,OR,02/15/2025,80,Permanent closure,11/14/2024
9029,#3612 - Hillsboro,Hillsboro,OR,02/02/2025,6,Permanent closure,11/14/2024
9025,Hillsboro Client Site,Hillsboro,OR,12/31/2024,205,Large Layoff - 10 or more workers,11/05/2024
9017,"True Value Company, L.L.C.",Springfield,OR,12/14/2024,98,Permanent closure,10/15/2024
9016,"Misfits Markets, Inc.",Clackamas,OR,12/31/2024,64,Permanent closure,10/30/2024
8987,DENNIS Uniform,Portland,OR,10/19/2024,111,Large Layoff - 10 or more workers,10/19/2024
8985,Portland - Production and Maintenance P,Portland,OR,01/07/2025,49,Permanent closure,10/17/2024
8978,Aloha Facility,Aloha,OR,11/15/2024,28,Large Layoff - 10 or more workers,10/15/2024
8978,"Century Blvd., Hillsboro",Hillsboro,OR,11/15/2024,514,Large Layoff - 10 or more workers,10/15/2024
